                                              R E A L   E I G E N V A L U E S
   MODE    EXTRACTION      EIGENVALUE            RADIANS             CYCLES            GENERALIZED         GENERALIZED
    NO.       ORDER                                                                       MASS              STIFFNESS
      188       188        1.083733E+08        1.041025E+04        1.656843E+03        1.000000E+00        1.083733E+08
      189       189        1.088819E+08        1.043465E+04        1.660726E+03        1.000000E+00        1.088819E+08
      190       190        1.095500E+08        1.046661E+04        1.665813E+03        1.000000E+00        1.095500E+08
      191       191        1.101627E+08        1.049584E+04        1.670465E+03        1.000000E+00        1.101627E+08
      192       192        1.111984E+08        1.054507E+04        1.678300E+03        1.000000E+00        1.111984E+08
      193       193        1.117215E+08        1.056984E+04        1.682242E+03        1.000000E+00        1.117215E+08
      194       194        1.124019E+08        1.060198E+04        1.687357E+03        1.000000E+00        1.124019E+08
      195       195        1.135126E+08        1.065423E+04        1.695673E+03        1.000000E+00        1.135126E+08
      196       196        1.141932E+08        1.068612E+04        1.700749E+03        1.000000E+00        1.141932E+08
      197       197        1.170692E+08        1.081985E+04        1.722033E+03        1.000000E+00        1.170692E+08
      198       198        1.172926E+08        1.083017E+04        1.723675E+03        1.000000E+00        1.172926E+08
      199       199        1.181798E+08        1.087105E+04        1.730182E+03        1.000000E+00        1.181798E+08
      200       200        1.189406E+08        1.090599E+04        1.735742E+03        1.000000E+00        1.189406E+08
      201       201        1.202096E+08        1.096401E+04        1.744977E+03        1.000000E+00        1.202096E+08
      202       202        1.203380E+08        1.096987E+04        1.745909E+03        1.000000E+00        1.203380E+08
      203       203        1.216454E+08        1.102930E+04        1.755367E+03        1.000000E+00        1.216454E+08
      204       204        1.223815E+08        1.106262E+04        1.760670E+03        1.000000E+00        1.223815E+08
      205       205        1.230289E+08        1.109184E+04        1.765321E+03        1.000000E+00        1.230289E+08
      206       206        1.240172E+08        1.113630E+04        1.772398E+03        1.000000E+00        1.240172E+08
      207       207        1.241492E+08        1.114223E+04        1.773340E+03        1.000000E+00        1.241492E+08
      208       208        1.263111E+08        1.123882E+04        1.788714E+03        1.000000E+00        1.263111E+08
      209       209        1.274285E+08        1.128842E+04        1.796608E+03        1.000000E+00        1.274285E+08
      210       210        1.280201E+08        1.131460E+04        1.800774E+03        1.000000E+00        1.280201E+08
      211       211        1.284194E+08        1.133223E+04        1.803580E+03        1.000000E+00        1.284194E+08
      212       212        1.289028E+08        1.135354E+04        1.806971E+03        1.000000E+00        1.289028E+08
      213       213        1.296831E+08        1.138785E+04        1.812432E+03        1.000000E+00        1.296831E+08
      214       214        1.306721E+08        1.143119E+04        1.819330E+03        1.000000E+00        1.306721E+08
      215       215        1.310713E+08        1.144864E+04        1.822107E+03        1.000000E+00        1.310713E+08
      216       216        1.315981E+08        1.147162E+04        1.825765E+03        1.000000E+00        1.315981E+08
      217       217        1.324721E+08        1.150965E+04        1.831818E+03        1.000000E+00        1.324721E+08
      218       218        1.336141E+08        1.155916E+04        1.839697E+03        1.000000E+00        1.336141E+08
      219       219        1.337998E+08        1.156719E+04        1.840975E+03        1.000000E+00        1.337998E+08
      220       220        1.342003E+08        1.158449E+04        1.843728E+03        1.000000E+00        1.342003E+08
      221       221        1.351480E+08        1.162532E+04        1.850226E+03        1.000000E+00        1.351480E+08
      222       222        1.359452E+08        1.165955E+04        1.855675E+03        1.000000E+00        1.359452E+08
      223       223        1.368623E+08        1.169882E+04        1.861925E+03        1.000000E+00        1.368623E+08
      224       224        1.382186E+08        1.175664E+04        1.871127E+03        1.000000E+00        1.382186E+08
      225       225        1.386571E+08        1.177527E+04        1.874093E+03        1.000000E+00        1.386571E+08
      226       226        1.402302E+08        1.184188E+04        1.884694E+03        1.000000E+00        1.402302E+08
      227       227        1.409289E+08        1.187135E+04        1.889384E+03        1.000000E+00        1.409289E+08
      228       228        1.416633E+08        1.190224E+04        1.894300E+03        1.000000E+00        1.416633E+08
      229       229        1.426714E+08        1.194452E+04        1.901029E+03        1.000000E+00        1.426714E+08
      230       230        1.436961E+08        1.198733E+04        1.907843E+03        1.000000E+00        1.436961E+08
      231       231        1.453495E+08        1.205610E+04        1.918787E+03        1.000000E+00        1.453495E+08
      232       232        1.458871E+08        1.207837E+04        1.922333E+03        1.000000E+00        1.458871E+08
      233       233        1.471155E+08        1.212912E+04        1.930409E+03        1.000000E+00        1.471155E+08
      234       234        1.480817E+08        1.216888E+04        1.936738E+03        1.000000E+00        1.480817E+08
      235       235        1.487985E+08        1.219830E+04        1.941419E+03        1.000000E+00        1.487985E+08
      236       236        1.491001E+08        1.221065E+04        1.943386E+03        1.000000E+00        1.491001E+08
      237       237        1.500233E+08        1.224840E+04        1.949394E+03        1.000000E+00        1.500233E+08
      238       238        1.511821E+08        1.229561E+04        1.956908E+03        1.000000E+00        1.511821E+08
      239       239        1.517864E+08        1.232016E+04        1.960815E+03        1.000000E+00        1.517864E+08
      240       240        1.526310E+08        1.235439E+04        1.966262E+03        1.000000E+00        1.526310E+08
      241       241        1.530206E+08        1.237015E+04        1.968770E+03        1.000000E+00        1.530206E+08
      242       242        1.541422E+08        1.241540E+04        1.975973E+03        1.000000E+00        1.541422E+08
      243       243        1.548110E+08        1.244230E+04        1.980254E+03        1.000000E+00        1.548110E+08
      244       244        1.552828E+08        1.246125E+04        1.983270E+03        1.000000E+00        1.552828E+08
      245       245        1.558683E+08        1.248472E+04        1.987005E+03        1.000000E+00        1.558683E+08
      246       246        1.574572E+08        1.254819E+04        1.997107E+03        1.000000E+00        1.574572E+08
1    EIGENFREQUENCIES                                                         MARCH   9, 2026  MSC Nastran  6/ 9/25   PAGE    10
